Size	   Bubble Sort	Selection Sort	Insertion Sort	     Comb Sort	 Cocktail Sort	The Fast Heap Sort
50	7000.77	3519.66	3816.83	13984.3	6280.12	6132.63
100	1496.77	1137.6	838.145	1238.035	1128.99	2292.23
150	1905.21	1640.055	1218.82	1860.28	1717.055	2568.08
200	1928.735	919.435	1205.985	1836.78	1633.675	2544.565
250	1922.275	908.785	1203.85	1785.445	1646.505	2557.385
300	2580.89	836.095	1330.035	2059.17	1659.27	2510.345
350	1221.035	818.93	1165.345	1740.555	1618.68	2480.42
400	1002.845	774.135	1195.345	1781.185	1667.83	2574.5
450	1039.165	868.135	1347.165	2050.71	1851.665	2612.99
500	996.42	788.955	1167.515	1781.27	1652.9	1905.215
550	1011.325	793.285	1199.555	2084.82	1704.22	1079.775
600	1024.26	795.46	1223.085	2118.995	1674.265	1148.275
650	987.85	791.16	1201.69	2133.985	1669.99	1064.85
700	979.27	793.26	2315.805	1960.795	1629.36	1071.245
750	953.62	754.81	3485.345	1845.34	1573.815	1030.655
800	1015.69	795.455	3581.595	1802.575	1620.835	1075.565
850	1109.755	857.395	3528.195	2230.235	2362.82	1084.14
900	667.14	545.24	2506.06	1509.65	1109.8	769.705
950	521.715	414.805	1871.04	617.935	863.865	555.945
1000	528.16	399.84	1888.135	440.485	844.625	555.94
